site_name,sid,school_name,idph_center_name,campus_sids,sponsor_cps,sponsor_idph,setting,match_basis,site_address,school_address,zip,community,ward,lat,lon,idph_certified,cps_listed,hrsa_scope,hrsa_site_num,hrsa_site_name,hrsa_grantee,hrsa_setting_desc,hrsa_site_type,hrsa_status,hrsa_sbhc_subprogram,access_text,open_to_public,hours,phone,coord_basis,cps_status_2025,cps_adjusted_su,cps_colo,review_note,source,resolved_sponsor,resolved_setting,resolved_site_address,resolved_zip,resolved_phone,resolved_hours,resolved_access_text,resolved_school_name,resolved_operational_status,resolved_lat_lon,operational_status,closed_on,hours_medical_school_year,hours_medical_summer,hours_dental,room_or_entrance,sponsor_legal_name,resolution_confidence,resolution_fields,resolution_sources,resolution_note,verified_on
Joyce Kilmer International Academy,610022,Joyce Kilmer International Academy,Kilmer School Health Center,,Tapestry 360 Health,Heartland Health Center,in_building,cps_school_id+cps_directory_address,"6700 N Greenview Ave, Chicago, IL 60626",6700 N GREENVIEW AVE,60626,ROGERS PARK,49,42.003916,-87.668498,true,true,true,BPS-H80-018675,Tapestry 360 Health - Kilmer,TAPESTRY 360 HEALTH,School,Service Delivery Site,Active,N,Open to Enrolled Students at the School,false,"Tue, Thur, Fri: 8:00 am-4:00 pm",773-366-7704,hrsa_site,Efficient,0.87,0,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11,Tapestry 360 Health,,,,773-366-7704,,,,,,operating,,"Tue, Thur, Fri: 8:00 am-4:00 pm",,,Room 109,,high,hours_split(carried) operational_status(high) phone(high) room_or_entrance(high) sponsor(high),https://tap360health.org/new-name-same-quality-care/ | https://blockclubchicago.org/2022/10/13/heartland-health-centers-renamed-tapestry-360-health-to-avoid-confusion-with-former-sister-agency/ | https://tap360health.org/location/,[sponsor] Heartland Health Centers rebranded as Tapestry 360 Health in Oct 2022. IDPH certified list still carries the pre-rename name. CPS sheet is correct. [phone] IDPH lists the same number for Kilmer and Sullivan; both are wrong. [operational_status] Listed on the operator's current site. [room_or_entrance] Published by Tapestry 360 Health.,2026-09-12
Lake View High School,609719,Lake View High School,Lakeview SHC,,Erie Family Health Centers,Erie Family Health Center,in_building,cps_school_id+cps_directory_address,"4015 N Ashland Ave, Chicago, IL 60613",4015 N ASHLAND AVE,60613,LAKE VIEW,47,41.955254,-87.668605,true,true,true,BPS-H80-010649,Erie Lake View School Based Health Center,ERIE FAMILY HEALTH CENTER,School,Service Delivery Site,Active,N,Open to Enrolled Students at the School,false,"Mon, Tue, Thur, Fri:  8:00am-4:30pm, Wed: 10:00am-4:30pm",312-666-3494,hrsa_site,Efficient,1.05,0,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11,Erie Family Health Centers,,,,,,,,,,operating,,"Mon, Tue, Thu, Fri: 8:00am-4:30pm; Wed: 10:00am-4:30pm",,,,,high,hours_split(high) operational_status(high) sponsor(high),https://www.eriefamilyhealth.org/locations/ | https://www.eriefamilyhealth.org/locations/lake-view/,[sponsor] Operator uses the plural form; IDPH and HRSA carry the older singular. [operational_status] Listed on the operator's current site. [hours_split] School-year medical schedule. No summer or dental schedule published.,2026-09-12
Laura S Ward Elementary School,610133,Laura S Ward Elementary School,Westside SHC,,Erie Family Health Centers,Erie Family Health Center,in_building,cps_school_id+cps_directory_address,"646 N Lawndale Ave, Chicago, IL 60624",646 N LAWNDALE AVE,60624,HUMBOLDT PARK,27,41.893241,-87.718975,true,true,true,BPS-H80-005301,Erie Westside Health Center at Laura S. Ward Elementary,ERIE FAMILY HEALTH CENTER,School,Service Delivery Site,Active,N,Open to the Community: No Restrictions,true,"Mon,Tue,Thur, Fri: 8:00am-4:30pm, Wed:10:00am-4:30pm",312-666-3494,hrsa_site,Underutilized,0.32,0,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11,Erie Family Health Centers,,,,,,,,,,operating,,"Mon, Tue, Thu, Fri: 8:00am-4:30pm; Wed: 10:00am-4:30pm",,,Entrance on Ridgeway Ave,,high,hours_split(high) operational_status(high) room_or_entrance(high) sponsor(high),https://www.eriefamilyhealth.org/locations/ | https://www.eriefamilyhealth.org/locations/westside/,"[sponsor] Operator uses the plural form; IDPH and HRSA carry the older singular. [operational_status] Listed on the operator's current site. [hours_split] School-year medical schedule. No summer or dental schedule published. [room_or_entrance] Erie: health center entrance on the west side of the building off Ridgeway, with its own parking.",2026-09-12
Ludwig Van Beethoven Elementary School,610237,Ludwig Van Beethoven Elementary School,Beethoven SHC,,Friend Health,Friend Family Health Center,in_building,cps_school_id+cps_directory_address,"25 W 47th St, Chicago, IL 60609",25 W 47TH ST,60609,GRAND BOULEVARD,3,41.808268,-87.62714,true,true,true,BPS-H80-006732,FFHC-Beethoven,"Friend Family Health Center, Inc.",School,Service Delivery Site,Active,N,Open to the Community: No Restrictions,true,Thur & Fri: 8am-5pm,312-682-6110,hrsa_site,Underutilized,0.36,0,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11,Friend Health,,,,,,,,,,operating,,Thur & Fri: 8am-5pm,,,Room 134,,medium,hours_split(carried) operational_status(high) room_or_entrance(medium) sponsor(high),https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,"[sponsor] Operating name is Friend Health; 'Friend Family Health Center, Inc.' remains the corporate/grantee name. CPS 2025-26 booklet lists 'BEETHOVEN ES Friend Health'. [operational_status] Listed in CPS's 2025-26 SBHC directory. CPS 2025-26 forms booklet p.11; note this directory covers only the 'Open to ALL CPS Students' subset, not all 33 SBHCs [room_or_entrance] From the IDPH certified list ('25 West 47th St., Rm 134'). IDPH is stale on this site's provider name but the room number is not contradicted anywhere.",2026-09-12
Marquette Elementary School,610053,Marquette Elementary School,Marquette Elementary SHC,,Esperanza Health Centers,Esperanza Clinic,in_building,cps_school_id+cps_directory_address,"6550 S Richmond St, Chicago, IL 60629",6550 S RICHMOND ST,60629,CHICAGO LAWN,15,41.774215,-87.697714,true,true,true,BPS-H80-012783,Esperanza Marquette,ESPERANZA HEALTH CENTERS,School,Service Delivery Site,Active,N,Open to the Community: No Restrictions,true,"Mon: 7:30am-5:00pm, Tue: 7:30am-5:00pm, Wed: 7:30am-5:00pm , Thur (1st & 3rd of the month): 11:30am-6:30pm, Thur (2nd, 4th, & 5th of the month): 7:30am-5:00pm, Fri: 7:30am-1:00pm, Sat (rotating): 7:30am-3:30pm",773-584-6200,hrsa_site,Underutilized,0.69,0,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11,Esperanza Health Centers,,,,773-584-6200,,,,,,operating,,"Mon: 7:30am-5:00pm, Tue: 7:30am-5:00pm, Wed: 7:30am-5:00pm , Thur (1st & 3rd of the month): 11:30am-6:30pm, Thur (2nd, 4th, & 5th of the month): 7:30am-5:00pm, Fri: 7:30am-1:00pm, Sat (rotating): 7:30am-3:30pm",,,,,high,hours_split(carried) operational_status(high) phone(high) sponsor(high),https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf | https://www.iphca.org/health-center-locator/,"[sponsor] IDPH's 'Esperanza Clinic' is not the organization's name. [phone] IDPH number is not published by the operator. [operational_status] Listed in CPS's 2025-26 SBHC directory. CPS 2025-26 forms booklet p.11; note this directory covers only the 'Open to ALL CPS Students' subset, not all 33 SBHCs",2026-09-12
Military Leadership Academy,609780,Military Leadership Academy,Primecare Hamlin,,PrimeCareHealth Community Health Centers,Primecare Community Health,in_building,cps_school_id+cps_directory_address,"1920 N Hamlin Ave, Chicago, IL 60647",1920 N HAMLIN AVE,60647,LOGAN SQUARE,26,41.915982,-87.722486,true,true,true,BPS-H80-012113,PrimeCare Hamlin,PRIMECARE COMMUNITY HEALTH INC,School,Service Delivery Site,Active,N,Open to the Community: No Restrictions,true,Mon-Fri: 9:00am-5:00pm,773-772-7202,hrsa_site,Underutilized,0.58,0,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11,PrimeCare Community Health,,,,,,,Marine Leadership Academy at Ames,,,operating,,Mon-Fri: 9:00am-5:00pm,,,,,high,hours_split(carried) operational_status(high) school_name(high) sponsor(high),https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf | https://data.cityofchicago.org/api/views/cjg8-dbka/rows.csv?accessType=DOWNLOAD,"[school_name] sbhc.csv carries a stale CPS school label for sid 609780. Both the uploaded CPS sheet and the CPS 2025-26 booklet say Marine Leadership at Ames HS. [sponsor] CPS sheet value looks like a malformed concatenation. CPS booklet abbreviates 'PCH CHC'; CDPH 2014 names the site 'PrimeCare Ames'. [operational_status] Listed in CPS's 2025-26 SBHC directory. CPS 2025-26 forms booklet p.11; note this directory covers only the 'Open to ALL CPS Students' subset, not all 33 SBHCs",2026-09-12
Mobile Oral Health Unit,,,,,,,mobile,hrsa_site_name_mobile,"1029 E 130th St, Chicago, IL 60628",,60628,,,41.659629,-87.595557,false,false,true,BPS-H80-037644,Mobile Oral Health Unit,"TCA HEALTH, INC. NFP",School,Service Delivery Site,Active,N,,,,,hrsa_site,,,,"No CPS school building at this address; the host school, if any, is unresolved; HRSA registers this mobile unit at its sponsor's address; it is not a fixed site in any school",hrsa_il_school_setting@2026-09-11,,mobile,,,,,,,,,unverified,,,,,,,unresolved,operational_status(unresolved) setting(high),https://tcahealth.org/contact-us/ | https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,"[setting] TCA: 'The Mobile Student Health Clinic travels to various schools on Chicago's far south side.' No fixed host school exists to resolve; the null is correct, not missing. [operational_status] No current operator page or CPS directory entry checked for this site. HRSA carries hrsa_status='Active' but that field was not independently re-verified, so no status is asserted.",2026-09-12
"Mobile Student Health Clinic, Parking Lot B",,,,,,,mobile,hrsa_site_name_mobile,"1029 E 130th St, Chicago, IL 60628",,60628,,,41.659629,-87.595557,false,false,true,BPS-H80-024735,"Mobile Student Health Clinic, Parking Lot B","TCA HEALTH, INC. NFP",School,Service Delivery Site,Active,N,,,,,hrsa_site,,,,"No CPS school building at this address; the host school, if any, is unresolved; HRSA registers this mobile unit at its sponsor's address; it is not a fixed site in any school",hrsa_il_school_setting@2026-09-11,,mobile,,,,,,,,,unverified,,,,,,,unresolved,operational_status(unresolved) setting(high),https://tcahealth.org/contact-us/ | https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,"[setting] TCA: 'The Mobile Student Health Clinic travels to various schools on Chicago's far south side.' No fixed host school exists to resolve; the null is correct, not missing. [operational_status] No current operator page or CPS directory entry checked for this site. HRSA carries hrsa_status='Active' but that field was not independently re-verified, so no status is asserted.",2026-09-12
Nathan S Davis Elementary School,609876,Nathan S Davis Elementary School,Davis Elementary SHC,,UI Health,"Board of Trustees, U of I at Chicago",school_linked,cps_school_id+cps_directory_address,"3050 W. 39th Place, Chicago, IL 60632",3014 W 39TH PL,60632,BRIGHTON PARK,12,41.822203,-87.701646,true,true,true,BPS-H80-011549,"UNIVERSITY OF ILLINOIS MEDICAL CENTER, MILE SQUARE HEALTH CENTER, Davis Health and Wellness Center",University of Illinois,School,Service Delivery Site,Active,N,Open to the Community: No Restrictions,true,"Mon, Tue, Wed, Fri: 8:00am-4:30pm, Thur: 10:00am-6:00pm",312-413-3090,hrsa_site,Underutilized,0.57,0,Center address differs from the school's building address in the CPS school file,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11,UI Health Mile Square Health Center,in_building,,,312-413-3090,"Mon, Tue, Wed, Fri: 8:30am-4:30pm; Thu: 10:00am-6:00pm",Open to the community,,,,operating,,"Mon, Tue, Wed, Fri: 8:30am-4:30pm; Thu: 10:00am-6:00pm",Mon-Fri: 8:00am-4:30pm (Jun 16 - Aug 8),,"Davis Annex, 3050 W 39th Pl","Board of Trustees, U of I at Chicago",medium,access_text(high) hours(medium) hours_split(medium) operational_status(high) phone(high) room_or_entrance(medium) setting(medium) sponsor(high),https://hospital.uillinois.edu/mile-square-health-center/locations/school-based-clinics | https://oceanhp.uic.edu/programs/community-health/mile-square-community-school-health-centers/ | https://hospital.uillinois.edu/mile-square-health-center/locations/school-based-clinics/davis-health-wellness-center | https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf | https://data.cityofchicago.org/api/views/cjg8-dbka/rows.csv?accessType=DOWNLOAD,"[sponsor] Not a true conflict: IDPH records the legal grantee, CPS the brand. The operating unit is UI Health Mile Square Health Center. [setting] sbhc.csv has this as school_linked because the center address differs from the school building address. IDPH names it an Annex, i.e. CPS space on the Davis campus, and both CPS and UI Health publish the center at 3050 W 39th Pl. For a co-location analysis this is in-building CPS space. Flagged: depends on whether the annex is a separate structure. [hours] Operator says 8:30am open in school season; both CPS sources say 8:00am. CPS may be carrying the summer open time. Day pattern agrees. [phone] IDPH's number matches the CDPH 2014 snapshot and is stale. [access_text] Confirmed. [operational_status] Listed on the operator's current site. [hours_split] Operator publishes both windows. Both CPS sources give an 8:00am school-year open against the operator's 8:30am; CPS may be carrying the summer open time. [room_or_entrance] IDPH names the location an Annex. This is the evidence behind reclassifying the site in_building; flagged because an annex may be a separate structure on the campus.",2026-09-12
National Teachers Elementary Academy,610231,National Teachers Elementary Academy,National Teacher's Academy SHC,,UI Health,"Board of Trustees, U of I at Chicago",in_building,cps_school_id+cps_directory_address,"55 W Cermak Rd, Chicago, IL 60616",55 W CERMAK RD,60616,NEAR SOUTH SIDE,3,41.851903,-87.62876,true,true,true,BPS-H80-005757,"UNIVERSITY OF ILLINOIS MEDICAL CENTER - MILE SQUARE HEALTH CENTER, NATIONAL TEACHERS ACADEMY HEALTH AND WELLNESS CENTER",University of Illinois,School,Service Delivery Site,Active,N,Open to the Community: No Restrictions,true,Mon-Fri: 8:30am-4:30pm,312-413-3880,hrsa_site,Underutilized,0.64,0,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11,UI Health Mile Square Health Center,,55 W Cermak Rd,,,,,,,,operating,,Mon-Fri: 8:30am-4:30pm,,,,"Board of Trustees, U of I at Chicago",high,hours_split(high) operational_status(high) site_address(high) sponsor(high),https://hospital.uillinois.edu/mile-square-health-center/locations/school-based-clinics | https://hospital.uillinois.edu/mile-square-health-center/care-at-mile-square/services/primary-and-pediatric-care | https://oceanhp.uic.edu/programs/community-health/mile-square-community-school-health-centers/,"[sponsor] Not a true conflict: IDPH records the legal grantee, CPS the brand. The operating unit is UI Health Mile Square Health Center. [site_address] There is no Cermak Ave; IDPH street type is wrong. [operational_status] Listed on the operator's current site. [hours_split] Operator and CPS sheet agree. No separate summer window published.",2026-09-12
Nicholas Senn High School,609730,Nicholas Senn High School,Senn SHC,,Tapestry 360 Health,Heartland Health Center,in_building,cps_school_id+cps_directory_address,"5900 N Glenwood Ave, Chicago, IL 60660",5900 N GLENWOOD AVE,60660,EDGEWATER,48,41.989015,-87.666682,true,true,true,BPS-H80-003767,Tapestry 360 Health - Senn High School,TAPESTRY 360 HEALTH,School,Service Delivery Site,Active,N,Open to Enrolled Students at the School,false,"Mon, Tue, Thur: 8:00 am-4:00 pm",773-751-1860,hrsa_site,Underutilized,0.67,0,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11,Tapestry 360 Health,,,,,Mon-Fri: 8:00am-4:00pm,,,,,operating,,Mon-Fri: 8:00am-4:00pm,,,Room 144,,high,hours(high) hours_split(high) operational_status(high) room_or_entrance(high) sponsor(high),https://tap360health.org/new-name-same-quality-care/ | https://blockclubchicago.org/2022/10/13/heartland-health-centers-renamed-tapestry-360-health-to-avoid-confusion-with-former-sister-agency/ | https://tap360health.org/location/ | https://tap360health.org/location/tapestry-senn-high-school/,[sponsor] Heartland Health Centers rebranded as Tapestry 360 Health in Oct 2022. IDPH certified list still carries the pre-rename name. CPS sheet is correct. [hours] Operator page modified 2026-08-17 publishes a five-day week; CPS sheet has three days. [operational_status] Listed on the operator's current site. [hours_split] School-year medical schedule. No summer or dental schedule published. [room_or_entrance] Published by Tapestry 360 Health.,2026-09-12
Noble - Gary Comer College Prep,400052,Noble - Gary Comer College Prep,Comer Youth Center,,ACCESS Community Health Center,Access Community Health Network,school_linked,cps_school_id+cps_directory_address,"7200 S. Ingleside Ave, Chicago, IL 60619",7131 S SOUTH CHICAGO AVE,60619,GREATER GRAND CROSSING,5,,,true,true,false,,,,,,,,Open to CPS Students Only,false,"Mon, Wed, Fri: 8:30am-5:00pm, Tue & Thur: 9:30am-6:00pm (open hours) scheduling hours vary",773-324-6942,,Efficient,0.74,1,Center address differs from the school's building address in the CPS school file; No coordinate for the center's own address; needs geocoding before it can be mapped,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+idph_shc_certified@2026-09-11,Access Community Health Network,school_linked,,,,,,,,"41.764002,-87.601896",operating,,"Mon, Wed, Fri: 8:30am-5:00pm, Tue & Thur: 9:30am-6:00pm (open hours) scheduling hours vary",,,,,medium,hours_split(carried) lat_lon(medium) operational_status(high) setting(high) sponsor(high),https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf | https://data.cityofchicago.org/api/views/cjg8-dbka/rows.csv?accessType=DOWNLOAD,"[sponsor] IDPH carries the correct corporate name; CPS sheet's '...Health Center' is wrong. CPS booklet uses the brand 'ACCESS'. [setting] Center is inside the Gary Comer Youth Center, a separate building from Gary Comer College Prep. school_linked confirmed. [lat_lon] Fills the null coordinate flagged in sbhc.csv. Basis is a 2014 CDPH geocode of an address that has not changed, not the center's own published coordinate. Set coord_basis='cdph_2014_geocode', not 'cps_school_building'. [operational_status] Listed in CPS's 2025-26 SBHC directory. CPS 2025-26 forms booklet p.11; note this directory covers only the 'Open to ALL CPS Students' subset, not all 33 SBHCs",2026-09-12
Noble Mansueto High School,400179,Noble Mansueto High School,,,Esperanza Health Centers,,school_linked,cps_offsite_override,"4700 S California Ave, Chicago, IL, 60632",2911 W 47TH ST,60632,BRIGHTON PARK,14,41.80819121,-87.69479705,false,true,false,,,,,,,,Open to the Community: No Restrictions,true,"Mon: 7:15am-5:45pm, Tue, Wed: 7:15am-6:00pm, Thur (1st & 3rd of the month): 11:30am-6:45pm, Thur (2nd, 4th, & 5th of the month): 7:15am-5:45pm, Fri: 7:15am-4:00pm, Sat: 7:30am-4:00pm",,cps_offsite_override,,,0,CPS supplies an off-site coordinate override for this center: it is affiliated with the school but not in it,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11,,school_linked,,,,,,,,,operating,,"Mon: 7:15am-5:45pm, Tue, Wed: 7:15am-6:00pm, Thur (1st & 3rd of the month): 11:30am-6:45pm, Thur (2nd, 4th, & 5th of the month): 7:15am-5:45pm, Fri: 7:15am-4:00pm, Sat: 7:30am-4:00pm",,,,,medium,hours_split(carried) operational_status(medium) setting(high),https://www.iphca.org/health-center-locator/ | https://www.esperanzachicago.org/location/esperanza-cultivate-collective,"[setting] The center is Esperanza's own Brighton Park clinic at 4700 S California Ave, roughly a kilometer from Mansueto HS (2911 W 47th St). CPS's off-site override is correct. [operational_status] Esperanza's Brighton Park clinic at 4700 S California Ave, carried as a current site by the IPHCA health-center locator - the same source that settles this row's setting. CPS supplies an off-site coordinate override linking it to Mansueto HS; the center is school-linked, not in the school building.",2026-09-12
Orozco Fine Arts & Sciences Elementary School,610329,Orozco Fine Arts & Sciences Elementary School,Orozco SHC,,Alivio Medical Center,Alivio Medical Center,in_building,cps_school_id+cps_directory_address,"1940 W 18th St, Chicago, IL 60608",1940 W 18TH ST,60608,LOWER WEST SIDE,25,41.857976,-87.675125,true,true,true,BPS-H80-010185,Jose Clemente Orozco Academy,"ALIVIO MEDICAL CENTER, INC",School,Service Delivery Site,Active,N,Open to the Community: No Restrictions,true,Mon-Fri: 8:30am-4:15pm,773-254-1400,hrsa_site,Underutilized,0.39,0,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11,,in_building,,,,,,,,,operating,,Mon-Fri: 8:30am-4:15pm,,,,,high,hours_split(carried) operational_status(high) setting(high),https://alivio.org/services/pediatrics/ | https://alivio.org/locations/,"[setting] Alivio: 'We also operate three school-based health centers, providing on-site, accessible health services to the students and community of Benito Juarez Community Academy, Orozco Community Academy, and Little Village Lawndale High School.' [operational_status] Listed on the operator's current site.",2026-09-12
Orr Academy High School,610389,Orr Academy High School,Orr Adolescent SHC,400180;610389,Rush University Medical Center,Rush University Medical Center,in_building,cps_school_id+cps_directory_address,"730 N Pulaski Rd. Room 109, Chicago, IL 60624",730 N PULASKI RD,60624,HUMBOLDT PARK,37,41.894547,-87.72666,true,true,false,,,,,,,,Open to Enrolled Students at the School (Orr Academy & KIPP One),false,"Mon-Thur: 9:00am-3:30pm, Fri: 9:00am-1:00pm",773-534-8924,cps_school_building,Efficient,0.71,1,"2 CPS schools share this building; a center here is a campus asset, not one school's",cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+idph_shc_certified@2026-09-11,,,"730 N Pulaski Rd, Room 109",,,,,,,,operating,,"Mon-Thur: 9:00am-3:30pm, Fri: 9:00am-1:00pm",,,Room 109,,high,hours_split(carried) operational_status(high) room_or_entrance(high) site_address(high),https://www.rush.edu/about-us/rush-community/office-community-health-equity-and-engagement/community-based-practices | https://data.cityofchicago.org/api/views/cjg8-dbka/rows.csv?accessType=DOWNLOAD,[site_address] Three different street types across sources; Pulaski Rd is correct. Rush's own page is also wrong here. [operational_status] Listed on the operator's current site. [room_or_entrance] Published by Rush.,2026-09-12
Paul Laurence Dunbar Career Academy High School,609676,Paul Laurence Dunbar Career Academy High School,Dunbar SHC,,Rush University Medical Center,Mercy Hospital and Medical Center,in_building,cps_school_id+cps_directory_address,"3000 S King Dr, Chicago, IL 60616",3000 S KING DR,60616,DOUGLAS,4,41.840226,-87.617637,true,true,false,,,,,,,,Open to Enrolled Students at the School,false,Tuesday: 10:00am-3:00pm,773-534-0904,cps_school_building,Underutilized,0.22,0,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+idph_shc_certified@2026-09-11,Rush University Medical Center,,,,773-534-0904,,,,,,operating,,Tuesday: 10:00am-3:00pm,,,Room 208,,high,hours_split(carried) operational_status(high) phone(high) room_or_entrance(high) sponsor(high),https://www.rush.edu/about-us/rush-community/office-community-health-equity-and-engagement/community-based-practices,[sponsor] Rush lists 'Rush Health Center at Dunbar Vocational Career Academy High School' among its five SBHCs and publishes the same phone CPS carries. IDPH's Mercy attribution is stale. [phone] IDPH number is a Mercy Hospital line and is stale along with the sponsor. [operational_status] Listed on the operator's current site. [room_or_entrance] Published by Rush.,2026-09-12
Richard T Crane Medical Preparatory HS,610561,Richard T Crane Medical Preparatory HS,Crane Adolescent SHC,,Rush University Medical Center,Rush University Medical Center,in_building,cps_school_id+cps_directory_address,"2245 W Jackson Blvd. Room 110 , Chicago, IL 60612",2245 W JACKSON BLVD,60612,NEAR WEST SIDE,27,41.876947,-87.683301,true,true,false,,,,,,,,Open to Enrolled Students at the School,false,"Mon-Thur: 9am-3:30pm, Fri: 9:00am-1:00pm",773-534-7582,cps_school_building,Underutilized,0.17,0,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+idph_shc_certified@2026-09-11,,,,,,,,,,,operating,,"Mon-Thur: 9am-3:30pm, Fri: 9:00am-1:00pm",,,Room 110,,high,hours_split(carried) operational_status(high) room_or_entrance(high),https://www.rush.edu/about-us/rush-community/office-community-health-equity-and-engagement/community-based-practices,[operational_status] Listed on the operator's current site. [room_or_entrance] Published by Rush.,2026-09-12
Roald Amundsen High School,609695,Roald Amundsen High School,Amundsen High SHC,,Erie Family Health Centers,Erie Family Health Center,in_building,cps_school_id+cps_directory_address,"5110 N Damen Ave, Chicago, IL 60625",5110 N DAMEN AVE,60625,LINCOLN SQUARE,40,41.974625,-87.680317,true,true,true,BPS-H80-010610,Erie Amundsen School Based Health Center,ERIE FAMILY HEALTH CENTER,School,Service Delivery Site,Active,N,Open to Enrolled Students at the School,false,"Monday, Tuesday, Thursday, Friday, 8:00am-4:30pm Wednesday 10am-4:30pm",312-432-2000,hrsa_site,Overcrowded,1.47,0,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11,Erie Family Health Centers,,,60625,312-666-3494,,,,,,operating,,"Mon, Tue, Thu, Fri: 8:00am-4:30pm; Wed: 10:00am-4:30pm",,,,,medium,hours_split(high) operational_status(high) phone(medium) sponsor(high) zip(high),https://www.eriefamilyhealth.org/locations/ | https://www.eriefamilyhealth.org/locations/amundsen/,[sponsor] Operator uses the plural form; IDPH and HRSA carry the older singular. [zip] IDPH's ZIP+4 suffix is duplicated from the Hibbard entry; treat as a copy error. [phone] Erie routes all sites through central scheduling. CPS sheet's 312-432-2000 is not published anywhere current. [operational_status] Listed on the operator's current site. [hours_split] School-year medical schedule. No summer or dental schedule published.,2026-09-12
Roberto Clemente Community Academy High School,609759,Roberto Clemente Community Academy High School,Clemente SHC,,Erie Family Health Centers,Erie Family Health Center,in_building,cps_school_id+cps_directory_address,"1147 N Western Ave, Chicago, IL 60622",1147 N WESTERN AVE,60622,WEST TOWN,1,41.902489,-87.686151,true,true,true,BPS-H80-008136,Erie Clemente Wildcats Student Health Center,ERIE FAMILY HEALTH CENTER,School,Service Delivery Site,Active,N,Open to Enrolled Students at the School,false,Mon-Fri: 8:00am-4:00pm,312-432-7475,hrsa_site,Underutilized,0.35,0,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11,Erie Family Health Centers,,,,312-666-3494,"Mon, Tue, Thu, Fri: 8:00am-4:30pm; Wed: 10:00am-4:30pm",,,,,operating,,"Mon, Tue, Thu, Fri: 8:00am-4:30pm; Wed: 10:00am-4:30pm",,,,,medium,hours(high) hours_split(high) operational_status(high) phone(medium) sponsor(high),https://www.eriefamilyhealth.org/locations/ | https://www.eriefamilyhealth.org/locations/clemente/,[sponsor] Operator uses the plural form; IDPH and HRSA carry the older singular. [hours] CPS sheet misses the Wednesday late open and ends the day 30 min early. Erie publishes the same pattern at all five of its school sites. [phone] Both sheets carry a 312-432 direct line that Erie no longer publishes. [operational_status] Listed on the operator's current site. [hours_split] School-year medical schedule. No summer or dental schedule published.,2026-09-12
